CNAE,Estoque,Admissoes,Desligamentos,Ano,Mes
39568756,1510115,1397995,39786083,2020,1
1520107,80141,63464,1522197,2020,1
7780799,254989,197144,7822052,2020,1
222128,3499,3401,223385,2020,1
7085654,243037,185544,7123581,2020,1
129964,1283,1689,130221,2020,1
343053,7170,6510,344865,2020,1
2093460,154769,119921,2118435,2020,1
8969082,334956,386829,8977893,2020,1
19205368,685260,630637,19345567,2020,1
2424831,71575,72754,2434630,2020,1
2005311,102757,98631,2018012,2020,1
8081958,345455,314750,8113148,2020,1
961653,32533,27744,965151,2020,1
955130,15782,13720,957167,2020,1
164174,6398,5218,165426,2020,1
1194220,53561,42472,1202090,2020,1
4806781,237181,225596,4823314,2020,1
5390323,120186,106238,5466845,2020,1
982469,4404,4946,993876,2020,1
1908566,55512,47029,1963221,2020,1
2499288,60270,54263,2509748,2020,1
203,87,91,225,2020,1
1302742,45200,38173,1312707,2020,1
266757,11167,8672,268836,2020,1
1033870,33952,29469,1041746,2020,1
2115,81,32,2125,2020,1
-60,0,0,-61,2020,1
39568756,1613708,1396381,39491102,2020,2
1520107,79975,77885,1514782,2020,2
7780799,266780,225527,7776745,2020,2
222128,4676,3419,223200,2020,2
7085654,251500,213573,7077897,2020,2
129964,1638,1381,130236,2020,2
343053,8966,7154,345412,2020,2
2093460,147082,122107,2099683,2020,2
8969082,359990,351179,8889426,2020,2
19205368,759881,619682,19210527,2020,2
2424831,82375,72576,2427128,2020,2
2005311,108236,95535,1921878,2020,2
8081958,333324,302134,8069319,2020,2
961653,30454,26956,964745,2020,2
955130,15683,13646,958931,2020,2
164174,6351,5099,165421,2020,2
1194220,49973,42103,1198740,2020,2
4806781,230863,214330,4781482,2020,2
5390323,184078,107556,5489946,2020,2
982469,16336,4929,997477,2020,2
1908566,102627,47972,1974369,2020,2
2499288,65115,54655,2518100,2020,2
203,99,77,212,2020,2
1302742,51769,41804,1302044,2020,2
266757,10710,8631,262811,2020,2
1033870,41024,33148,1037109,2020,2
2115,35,25,2124,2020,2
-60,0,1,-61,2020,2
39568756,1459461,1754442,38509713,2020,3
1520107,76550,83965,1506430,2020,3
7780799,237845,283152,7560519,2020,3
222128,3823,4008,221813,2020,3
7085654,225009,270693,6866137,2020,3
129964,1368,1353,130291,2020,3
343053,7645,7098,342278,2020,3
2093460,133774,152526,2025168,2020,3
8969082,337090,425557,8624244,2020,3
19205368,674202,809242,18793413,2020,3
2424831,79748,87250,2369874,2020,3
2005311,77744,173878,1772110,2020,3
8081958,344629,388458,7919828,2020,3
961653,30569,30975,949809,2020,3
955130,16523,14759,952973,2020,3
164174,5908,5913,161405,2020,3
1194220,48984,52334,1173361,2020,3
4806781,242645,284477,4682280,2020,3
5390323,132750,109649,5466061,2020,3
982469,8115,4514,997293,2020,3
1908566,55033,43885,1946893,2020,3
2499288,69602,61250,2521875,2020,3
203,59,72,186,2020,3
1302742,39272,49935,1265354,2020,3
266757,7527,13552,246992,2020,3
1033870,31717,36354,1016270,2020,3
2115,28,29,2092,2020,3
-60,0,0,-61,2020,3
39568756,664814,1646203,38111467,2020,4
1520107,57214,65566,1521426,2020,4
7780799,100688,316914,7453027,2020,4
222128,2086,3473,221272,2020,4
7085654,94175,305935,6761497,2020,4
129964,723,668,130330,2020,4
343053,3704,6838,339928,2020,4
2093460,64514,139029,2001263,2020,4
8969082,124526,389708,8517963,2020,4
19205368,317872,734986,18617850,2020,4
2424831,38776,96030,2338515,2020,4
2005311,13893,163661,1707993,2020,4
8081958,175452,324943,7869096,2020,4
961653,12245,27181,944307,2020,4
955130,5648,11606,949497,2020,4
164174,1944,5960,159527,2020,4
1194220,19350,44729,1160682,2020,4
4806781,136265,235467,4655083,2020,4
5390323,76983,100868,5453726,2020,4
982469,2618,2802,997805,2020,4
1908566,9742,37218,1925326,2020,4
2499288,64623,60848,2530595,2020,4
203,37,63,165,2020,4
1302742,12731,49421,1248355,2020,4
266757,984,16803,240540,2020,4
1033870,11738,32577,1005723,2020,4
2115,9,41,2092,2020,4
-60,0,0,-62,2020,4
39568756,761771,1160017,38058064,2020,5
1520107,75507,60511,1559186,2020,5
7780799,106364,213856,7444202,2020,5
222128,2635,3176,221831,2020,5
7085654,98733,203373,6753811,2020,5
129964,803,764,130040,2020,5
343053,4193,6543,338520,2020,5
2093460,91125,115030,2015863,2020,5
8969082,153309,259590,8490703,2020,5
19205368,335466,511029,18548172,2020,5
2424831,38644,70003,2327117,2020,5
2005311,15610,79727,1665482,2020,5
8081958,193635,244367,7874900,2020,5
961653,13977,19479,945601,2020,5
955130,6179,9655,947747,2020,5
164174,2654,4532,158978,2020,5
1194220,22647,35326,1155895,2020,5
4806781,148178,175375,4666679,2020,5
5390323,72750,85085,5442590,2020,5
982469,3401,2889,997170,2020,5
1908566,8100,29667,1901930,2020,5
2499288,61249,52529,2543490,2020,5
203,37,58,175,2020,5
1302742,14790,31789,1237908,2020,5
266757,937,7389,235442,2020,5
1033870,13838,24385,1000393,2020,5
2115,15,15,2073,2020,5
-60,0,1,-62,2020,5
39568756,962304,1015707,38166535,2020,6
1520107,90078,52318,1580475,2020,6
7780799,152071,160896,7494363,2020,6
222128,3608,3049,222713,2020,6
7085654,143208,150894,6803361,2020,6
129964,888,1178,130075,2020,6
343053,4367,5775,338214,2020,6
2093460,119900,105300,2055289,2020,6
8969082,203114,230374,8511269,2020,6
19205368,397141,466819,18525201,2020,6
2424831,50155,61553,2321450,2020,6
2005311,19512,62023,1634681,2020,6
8081958,235393,229589,7908232,2020,6
961653,19832,18538,949088,2020,6
955130,7990,9740,947324,2020,6
164174,3322,3871,159299,2020,6
1194220,28212,32999,1161101,2020,6
4806781,176037,164441,4691420,2020,6
5390323,75078,86214,5428512,2020,6
982469,2596,3231,996742,2020,6
1908566,9245,32641,1879298,2020,6
2499288,63237,50342,2552472,2020,6
203,58,48,183,2020,6
1302742,16945,27392,1232143,2020,6
266757,1283,6381,232187,2020,6
1033870,15647,20977,997879,2020,6
2115,15,34,2077,2020,6
-60,0,0,-62,2020,6
39568756,1177122,1068651,38381138,2020,7
1520107,79419,58130,1588081,2020,7
7780799,215519,165358,7584349,2020,7
222128,4212,3330,223603,2020,7
7085654,204628,155078,6890786,2020,7
129964,1099,1064,130144,2020,7
343053,5580,5886,339816,2020,7
2093460,146161,106735,2105285,2020,7
8969082,259748,239182,8555285,2020,7
19205368,476275,499246,18548200,2020,7
2424831,62785,68452,2319011,2020,7
2005311,28813,59614,1614845,2020,7
8081958,279259,245927,7959991,2020,7
961653,23982,20495,954727,2020,7
955130,10473,10896,948489,2020,7
164174,4662,4341,160197,2020,7
1194220,38803,33597,1172993,2020,7
4806781,201339,176598,4723585,2020,7
5390323,83726,97804,5425656,2020,7
982469,2730,3158,996449,2020,7
1908566,13120,35752,1868862,2020,7
2499288,67876,58894,2560345,2020,7
203,53,45,220,2020,7
1302742,21639,27404,1228477,2020,7
266757,2506,5761,230021,2020,7
1033870,19113,21627,996375,2020,7
2115,20,16,2081,2020,7
-60,0,0,-62,2020,7
39568756,1328935,1114332,38680854,2020,8
1520107,71918,64312,1593395,2020,8
7780799,263715,173729,7695859,2020,8
222128,4518,3628,224495,2020,8
7085654,251133,163708,6999836,2020,8
129964,1185,1116,130299,2020,8
343053,6879,5277,341229,2020,8
2093460,158756,108760,2152129,2020,8
8969082,296482,252466,8621779,2020,8
19205368,538064,515065,18617754,2020,8
2424831,68540,70979,2327837,2020,8
2005311,42159,61995,1617296,2020,8
8081958,307490,255731,8024147,2020,8
961653,28002,22363,963440,2020,8
955130,12605,11440,949653,2020,8
164174,5025,4127,160529,2020,8
1194220,45841,33949,1185532,2020,8
4806781,216017,183852,4764993,2020,8
5390323,94117,96973,5418943,2020,8
982469,3409,3702,996259,2020,8
1908566,22570,33006,1857862,2020,8
2499288,68138,60265,2564822,2020,8
203,84,47,242,2020,8
1302742,25674,29340,1229289,2020,8
266757,3930,6096,230249,2020,8
1033870,21729,23233,996970,2020,8
2115,15,11,2070,2020,8
-60,0,0,-62,2020,8
39568756,1490724,1191008,39046830,2020,9
1520107,75370,70056,1589052,2020,9
7780799,306879,195369,7779420,2020,9
222128,4753,3861,225725,2020,9
7085654,293362,184312,7079433,2020,9
129964,1402,1247,130775,2020,9
343053,7362,5949,343487,2020,9
2093460,164184,117340,2187560,2020,9
8969082,344241,277747,8732593,2020,9
19205368,600050,530496,18758267,2020,9
2424831,77783,68957,2343866,2020,9
2005311,60385,57934,1642166,2020,9
8081958,341724,277568,8119225,2020,9
961653,32847,24134,976729,2020,9
955130,13878,12714,946306,2020,9
164174,5729,5397,161897,2020,9
1194220,49248,36709,1200581,2020,9
4806781,240022,198614,4833712,2020,9
5390323,89564,96277,5421731,2020,9
982469,2353,2543,995633,2020,9
1908566,20938,31938,1858162,2020,9
2499288,66273,61796,2567936,2020,9
203,72,50,278,2020,9
1302742,30522,29710,1231001,2020,9
266757,5923,5695,232887,2020,9
1033870,24578,23983,996040,2020,9
2115,21,32,2074,2020,9
-60,0,0,-62,2020,9
39568756,1662537,1296561,39423116,2020,10
1520107,72466,76809,1569406,2020,10
7780799,296781,213220,7824127,2020,10
222128,4845,3615,226817,2020,10
7085654,281937,202340,7122093,2020,10
129964,1614,1138,131081,2020,10
343053,8385,6127,344136,2020,10
2093460,166114,130683,2204133,2020,10
8969082,421132,310318,8908794,2020,10
19205368,706044,565531,18916718,2020,10
2424831,89459,73430,2358986,2020,10
2005311,87990,63120,1677043,2020,10
8081958,396482,301404,8214086,2020,10
961653,39242,25953,977357,2020,10
955130,14960,18307,947527,2020,10
164174,6293,4925,163572,2020,10
1194220,55286,40237,1213806,2020,10
4806781,280701,211982,4911824,2020,10
5390323,95880,93092,5428973,2020,10
982469,1937,2563,993120,2020,10
1908566,25518,25218,1855117,2020,10
2499288,68425,65311,2580736,2020,10
203,118,82,303,2020,10
1302742,36115,34403,1237327,2020,10
266757,8723,6085,235197,2020,10
1033870,27367,28297,1000051,2020,10
2115,25,21,2079,2020,10
-60,0,0,-62,2020,10
39568756,1655476,1279190,39266490,2020,11
1520107,64335,83981,1540367,2020,11
7780799,263374,218667,7771871,2020,11
222128,4536,3444,226143,2020,11
7085654,249897,207237,7072923,2020,11
129964,1619,1313,130752,2020,11
343053,7322,6673,342053,2020,11
2093460,149130,132557,2153350,2020,11
8969082,466134,289933,8954903,2020,11
19205368,712503,554052,18846061,2020,11
2424831,89027,73907,2352703,2020,11
2005311,96996,62119,1696740,2020,11
8081958,398542,303681,8205433,2020,11
961653,32887,32259,979323,2020,11
955130,16115,14894,947708,2020,11
164174,6136,4461,163925,2020,11
1194220,51709,38484,1207369,2020,11
4806781,291695,213583,4907108,2020,11
5390323,91548,84306,5364183,2020,11
982469,1788,4301,976609,2020,11
1908566,21484,24529,1803007,2020,11
2499288,68276,55476,2584567,2020,11
203,92,67,317,2020,11
1302742,36298,29972,1226685,2020,11
266757,8469,6159,233459,2020,11
1033870,27808,23797,991150,2020,11
2115,21,16,2076,2020,11
-60,0,0,-62,2020,11
39568756,1335541,1492167,39520898,2020,12
1520107,52523,81562,1576811,2020,12
7780799,180590,232846,7862970,2020,12
222128,3428,4102,227672,2020,12
7085654,170196,219366,7160767,2020,12
129964,1198,1527,131248,2020,12
343053,5768,7851,343283,2020,12
2093460,100041,150824,2197864,2020,12
8969082,382535,336426,8965089,2020,12
19205368,619852,690509,18918226,2020,12
2424831,71367,77650,2352212,2020,12
2005311,88218,68521,1700485,2020,12
8081958,343542,352195,8254934,2020,12
961653,27458,25492,985318,2020,12
955130,13798,13617,952143,2020,12
164174,5031,4678,166009,2020,12
1194220,40018,46455,1226344,2020,12
4806781,257237,261953,4925120,2020,12
5390323,86854,151644,5382005,2020,12
982469,1450,17961,979728,2020,12
1908566,13683,65793,1794915,2020,12
2499288,71721,67890,2607362,2020,12
203,77,63,331,2020,12
1302742,29794,40436,1228259,2020,12
266757,6511,8249,233083,2020,12
1033870,23260,32161,993094,2020,12
2115,23,26,2082,2020,12
-60,0,0,-62,2020,12
39568756,1710951,1456543,39918705,2021,1
1520107,103882,67438,1601717,2021,1
7780799,312966,221867,7956406,2021,1
222128,5013,3484,230042,2021,1
7085654,297798,209954,7248555,2021,1
129964,1727,1231,131629,2021,1
343053,8428,7198,346180,2021,1
2093460,174729,130215,2243347,2021,1
8969082,386831,376645,9032836,2021,1
19205368,732543,660378,19084461,2021,1
2424831,77274,77765,2362363,2021,1
2005311,92246,88501,1715761,2021,1
8081958,393018,343517,8320169,2021,1
961653,36644,30649,995016,2021,1
955130,17741,13306,955312,2021,1
164174,6995,4911,167828,2021,1
1194220,62418,43443,1241772,2021,1
4806781,269220,251208,4960241,2021,1
5390323,130874,113052,5446105,2021,1
982469,8804,5685,986930,2021,1
1908566,37727,45819,1825371,2021,1
2499288,84343,61548,2633804,2021,1
203,103,89,380,2021,1
1302742,39028,37454,1239683,2021,1
266757,8706,9082,234980,2021,1
1033870,30292,28348,1002615,2021,1
2115,30,24,2088,2021,1
-60,0,0,-62,2021,1
39568756,1863828,1466021,40072860,2021,2
1520107,102677,77771,1605076,2021,2
7780799,337329,243893,7993597,2021,2
222128,5800,3430,231480,2021,2
7085654,319922,232134,7283295,2021,2
129964,1867,1486,131288,2021,2
343053,9740,6843,347534,2021,2
2093460,180760,135277,2267712,2021,2
8969082,424428,356681,9039640,2021,2
19205368,818634,652399,19166897,2021,2
2424831,91095,80944,2373498,2021,2
2005311,98510,83234,1677087,2021,2
8081958,399927,334692,8369382,2021,2
961653,38508,28810,1006605,2021,2
955130,18410,15241,959504,2021,2
164174,7086,5267,169428,2021,2
1194220,61297,45869,1257274,2021,2
4806781,274626,239505,4976571,2021,2
5390323,180681,116581,5506344,2021,2
982469,12067,4865,991082,2021,2
1908566,79326,48870,1837965,2021,2
2499288,89288,62846,2677297,2021,2
203,116,67,417,2021,2
1302742,48305,36881,1240169,2021,2
266757,10288,8391,232062,2021,2
1033870,37991,28470,1006003,2021,2
2115,26,20,2104,2021,2
-60,0,0,-62,2021,2
39568756,1758877,1604722,40163099,2021,3
1520107,103203,99844,1615341,2021,3
7780799,306164,268973,8008666,2021,3
222128,5696,4258,233825,2021,3
7085654,289216,254476,7295878,2021,3
129964,1644,1985,131722,2021,3
343053,9608,8254,347241,2021,3
2093460,175928,151563,2290028,2021,3
8969082,384222,377418,9042168,2021,3
19205368,789360,706924,19206945,2021,3
2424831,93677,82542,2376557,2021,3
2005311,65443,104117,1647637,2021,3
8081958,408655,359442,8398293,2021,3
961653,43201,31612,1016465,2021,3
955130,20220,16028,966059,2021,3
164174,6914,5314,170883,2021,3
1194220,65371,49869,1268686,2021,3
4806781,272949,256619,4976200,2021,3
5390323,180455,120216,5541450,2021,3
982469,8714,4562,993170,2021,3
1908566,53280,40686,1842035,2021,3
2499288,118461,74968,2706245,2021,3
203,129,92,525,2021,3
1302742,41001,40515,1242483,2021,3
266757,6636,9554,229597,2021,3
1033870,34332,30944,1010759,2021,3
2115,33,17,2127,2021,3
-60,0,0,-49,2021,3
39568756,1502963,1412724,40429730,2021,4
1520107,97689,87424,1653607,2021,4
7780799,252837,237768,8051405,2021,4
222128,5906,3561,236332,2021,4
7085654,236517,223934,7333603,2021,4
129964,1964,1530,131942,2021,4
343053,8450,8743,349528,2021,4
2093460,159082,136766,2312368,2021,4
8969082,324994,322466,9101468,2021,4
19205368,668348,628300,19310930,2021,4
2424831,82823,79764,2383306,2021,4
2005311,49893,79343,1652979,2021,4
8081958,360175,331264,8453927,2021,4
961653,39840,29980,1027157,2021,4
955130,21069,14514,971503,2021,4
164174,6184,4729,172284,2021,4
1194220,59178,47766,1283426,2021,4
4806781,233904,234275,4999557,2021,4
5390323,139201,104095,5568345,2021,4
982469,6284,4196,994762,2021,4
1908566,35124,31054,1851885,2021,4
2499288,97793,68845,2721698,2021,4
203,187,79,550,2021,4
1302742,36069,33755,1251823,2021,4
266757,5461,7926,229921,2021,4
1033870,30563,25807,1019755,2021,4
2115,45,22,2147,2021,4
-60,13,0,-48,2021,4
39568756,1651398,1384767,40747837,2021,5
1520107,118120,79854,1692960,2021,5
7780799,266233,223494,8102414,2021,5
222128,6316,3809,238714,2021,5
7085654,248364,210639,7379304,2021,5
129964,1702,1482,132681,2021,5
343053,9851,7564,351715,2021,5
2093460,169750,147410,2336525,2021,5
8969082,376783,317483,9178481,2021,5
19205368,720510,616525,19437505,2021,5
2424831,83638,76889,2396339,2021,5
2005311,71584,66242,1672177,2021,5
8081958,392052,336418,8518029,2021,5
961653,41149,30457,1039365,2021,5
955130,20457,15013,977450,2021,5
164174,6677,5276,173869,2021,5
1194220,63351,48611,1297495,2021,5
4806781,260418,237061,5029850,2021,5
5390323,129467,102572,5591470,2021,5
982469,6619,5027,997370,2021,5
1908566,40317,30467,1853842,2021,5
2499288,82531,67078,2740258,2021,5
203,116,91,597,2021,5
1302742,43653,34313,1258893,2021,5
266757,8193,7869,231424,2021,5
1033870,35422,26426,1025310,2021,5
2115,38,18,2159,2021,5
-60,2,1,-48,2021,5
39568756,1698667,1380560,41054824,2021,6
1520107,117061,77708,1718654,2021,6
7780799,269505,218496,8160369,2021,6
222128,6096,3714,241188,2021,6
7085654,251850,206149,7432522,2021,6
129964,2111,1372,133066,2021,6
343053,9448,7261,353593,2021,6
2093460,171734,147577,2367168,2021,6
8969082,398984,321971,9253674,2021,6
19205368,741383,614808,19555007,2021,6
2424831,86373,73340,2409635,2021,6
2005311,81936,62738,1701058,2021,6
8081958,401510,337408,8581044,2021,6
961653,43794,31586,1050361,2021,6
955130,21664,15717,983159,2021,6
164174,6667,5082,175554,2021,6
1194220,62469,48400,1311359,2021,6
4806781,266916,236623,5060611,2021,6
5390323,130708,107583,5595595,2021,6
982469,6655,4047,999672,2021,6
1908566,36618,34661,1848527,2021,6
2499288,87435,68875,2747396,2021,6
203,131,84,635,2021,6
1302742,40725,33655,1267040,2021,6
266757,8386,6883,234098,2021,6
1033870,32303,26748,1030762,2021,6
2115,36,24,2180,2021,6
-60,0,0,-48,2021,6
39568756,1765907,1458920,41442669,2021,7
1520107,104568,78874,1729235,2021,7
7780799,288050,230095,8233986,2021,7
222128,6598,4124,242914,2021,7
7085654,270626,217408,7502563,2021,7
129964,1826,1441,133427,2021,7
343053,9000,7122,355082,2021,7
2093460,180828,150185,2402613,2021,7
8969082,415110,339917,9335686,2021,7
19205368,777348,659846,19741196,2021,7
2424831,92785,79489,2429083,2021,7
2005311,97637,68756,1736057,2021,7
8081958,417028,354013,8660356,2021,7
961653,44282,33286,1061621,2021,7
955130,22428,16719,989116,2021,7
164174,6968,5283,177371,2021,7
1194220,65997,52133,1327365,2021,7
4806781,277353,246592,5104883,2021,7
5390323,126243,122118,5633682,2021,7
982469,6430,4128,1003586,2021,7
1908566,35405,40720,1874489,2021,7
2499288,84408,77270,2755607,2021,7
203,135,97,701,2021,7
1302742,43520,35373,1281317,2021,7
266757,9455,6781,238640,2021,7
1033870,34020,28568,1040493,2021,7
2115,45,24,2184,2021,7
-60,3,3,-47,2021,7
39568756,1917917,1530072,41772824,2021,8
1520107,94237,83656,1740267,2021,8
7780799,319732,246115,8310155,2021,8
222128,6129,4403,244385,2021,8
7085654,302267,232226,7575558,2021,8
129964,2024,1663,133642,2021,8
343053,9312,7823,356570,2021,8
2093460,187517,152072,2429558,2021,8
8969082,441807,359795,9401100,2021,8
19205368,874622,688433,19891790,2021,8
2424831,98433,78985,2447196,2021,8
2005311,117211,82212,1769257,2021,8
8081958,443520,364208,8725372,2021,8
961653,45067,33807,1071354,2021,8
955130,22997,17040,995171,2021,8
164174,7389,5572,178892,2021,8
1194220,68334,52328,1341310,2021,8
4806781,299733,255461,5138645,2021,8
5390323,163029,124942,5656195,2021,8
982469,9310,5396,1008703,2021,8
1908566,68794,42832,1890755,2021,8
2499288,84925,76714,2756737,2021,8
203,157,91,754,2021,8
1302742,52272,37995,1293016,2021,8
266757,12195,7653,242835,2021,8
1033870,40042,30311,1047982,2021,8
2115,35,31,2199,2021,8
-60,2,1,-46,2021,8
39568756,1890378,1560223,42025633,2021,9
1520107,100327,89295,1734022,2021,9
7780799,318989,242820,8335764,2021,9
222128,6059,4588,245427,2021,9
7085654,301702,228707,7598479,2021,9
129964,2137,1922,133716,2021,9
343053,9091,7603,358142,2021,9
2093460,180957,154012,2445333,2021,9
8969082,443360,377946,9471568,2021,9
19205368,846744,696150,20038994,2021,9
2424831,100342,82229,2460465,2021,9
2005311,118770,85570,1803056,2021,9
8081958,432431,367415,8794494,2021,9
961653,44701,34968,1082201,2021,9
